ID,F2,F3,F4,F8,F11,F25,F39,F52,F53,F54,F55,F69,F72,F73,F74,F75,F76,F77,F78,F79,F81,F82,F83,F84,F85,F86,F92,F93,F94,F95,F98,F99,F109,F110,F116,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F136,F139,COVID_TCPM
10681,1,1,1,Tropical and Subtropical Moist Broadleaf Forests,"Mild temperate with dry winter, and  Warm summer",90282.4989,0.367070473,,,,,83.44950442,,,,,4988.544333,5949.288232,6872.472783,6671.805909,,,,,,,,,,,33.45630936,34.49113433,0.277000275,0.31217372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.102565056,low
3300,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Hot summer",288522.8183,0.420662872,,,,34588.74382,65.7799016,,,,2539.435592,42724.43551,19536.91553,85912.94692,112021.4496,,28940.34444,30227.38693,,123.0878688,0.897021531,,,,6.121731658,324.6840746,415.9558871,10.63683001,6.335389679,5,7404.637115,5819.925575,8500.043823,9706.487671,0,0,0,0,0,0,0,0,0,available,0.186848127,high
12038,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Hot summer",94697.534,0.343824954,,,,,48.1315253,,,,,9826.923968,11719.51003,13461.59553,13070.69642,,,,,,,,,,,65.35692761,67.1111873,2.402958353,2.487933287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.131743476,low
10236,0,1,1,Tropical and Subtropical Moist Broadleaf Forests,Tropical monsoon,175315.1001,0.558702052,,,,,9.809283515,,,,,3483.049562,4605.716581,5039.788915,5908.266794,,569.0448087,406.4947209,,,,,,,,18.64021288,21.79854784,17.94224983,25.78117432,12,18158.34007,101687.7516,157364.4825,175315.1001,0,0,0,0,0,0,0,0,0,preliminary,0.703490931,low
4111,1,1,1,Temperate Broadleaf and Mixed Forests,"Snow, fully humid, and  Warm summer",89094.63635,0.508009802,,,,,3.993893135,,,,,1599.962445,863.5096869,240.4467781,238.5896702,,,,,,,,,,,4.424607757,2.373212784,1.783900208,1.086819424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.531440572,high
5258,0,1,1,Tropical and Subtropical Moist Broadleaf Forests,Tropical savannah with dry winter,156291.4042,0.255386377,,,,,0.011371934,,,,,268.8780537,394.7380349,501.9010293,658.2738683,,,,,,,,,,,1.858444252,2.439861764,0.063729821,0.124714923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0,low
647,1,1,1,Tropical and Subtropical Dry Broadleaf Forests,Tropical savannah with dry winter,114976.7509,0.313217313,,,,,,,,,,959.9026328,1179.470683,694.2605938,650.2107658,26.25539017,31.60243688,44.93672062,,,,,,,,2.721985517,2.541352715,0.011773828,0.01596186,6,3600.767818,7322.277206,10340.68185,15713.78369,23,4.944541931,4.944541931,5.599895,5.959881306,65706.0105,95711.80548,107367.3103,114976.7509,available,0.049826112,low
942,1,1,1,Temperate Coniferous Forests,"Mild temperate, fully humid, and  Hot summer",139792.4027,0.480191194,41033.12661,25125.97034,36710.57878,7489.980954,481.2863913,,23.13731909,342.531835,92.49604186,15362.01455,17545.9896,15826.21059,15913.05302,12889.83425,31583.16125,21454.81634,,,887.6899028,2.133502972,0.899646666,0.808915336,0.11801802,72.18196844,65.85338767,0.011189456,0.009436358,0,0,0,0,0,126,48.26596069,54.11789703,60.05557632,60.61661911,108917.4054,77073.48891,76824.13935,90636.45226,available,0.699689125,high
2119,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Warm summer",96913.05591,0.561954759,480125.9952,175334.542,110665.3812,21852.76583,2.360163724,1430.660798,3095.527813,3536.375602,13961.21703,3682.809467,3686.317197,2884.893116,5029.948971,4092.35647,14579.08787,26775.8188,,,0.749355619,65.97573364,13.39460914,10.09511859,5.601072598,14.24746122,12.37311035,2.999004842,2.918813818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.746875377,high
2168,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Warm summer",172765.7184,0.43043898,2341.534419,256.6410176,146.8629713,253.0917063,263.8731473,,,,,28326.69347,31528.38855,23976.43065,23658.47308,11026.321,10122.38529,6072.914372,,,374.9753359,0.204445922,0.022405189,0.012810734,0.01880025,70.39445276,62.74890778,1.77394341,1.379305667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.27137046,high
7593,1,1,1,Tropical and Subtropical Moist Broadleaf Forests,"Mild temperate with dry winter, and  Hot summer",112534.4172,0.336607426,,,,,21.13819738,,,,,463.7109688,590.1071115,668.0938974,779.1416642,,,,,,,,,,,2.598423827,3.049199789,1.532363416,1.846016885,2,182610.0396,235001.4727,175808.877,108655.396,0,0,0,0,0,0,0,0,0,available,0.107356257,low
